index,query,tier1,primaryIntent,consumer_or_creator,key_categories,curify_relevance,curify_gap_or_opportunity,short_reason
46,before after kitchen organization makeover,How-to & Craft,creative,creator,"kitchen organization, before-after visual, home makeover template",High,Need content generation,"Before-after makeover visual (P1, 3 results). Very thin Curify coverage; before-after home makeover templates needed."
47,phonics worksheets kindergarten,Template / Printable / Worksheet,creative,creator,"phonics worksheet, kindergarten printable, alphabet activity sheet",High,Need content generation,P0 content gap — zero Curify results. Canva/Google show abundant printable worksheets; urgent template inventory gap.
48,Spanish vocabulary printable,Template / Printable / Worksheet,creative,creator,"Spanish word card, vocabulary printable, bilingual sheet",High,Need better template routing,"Spanish printable vocabulary (P1, 6 results). Curify has bilingual content but Spanish-specific printable routing is thin."
49,ESL flashcards printable,Template / Printable / Worksheet,creative,creator,"ESL flashcard, English learner card, printable vocabulary",High,Already covered reasonably,ESL printable flashcard. Curify returns full-10; strong ESL educational template coverage.
50,easy weeknight dinners healthy,Template / Printable / Worksheet,creative,mixed,"weeknight recipe card, healthy meal planner, dinner recipe template",High,Need content generation,P0 content gap — zero Curify results. Recipe card/planner templates urgently needed; all external platforms return rich results.
51,gluten free dinner ideas,Template / Printable / Worksheet,creative,mixed,"gluten-free recipe card, dietary meal planner, dinner idea visual",High,Need content generation,P0 content gap — zero Curify results. Recipe/dietary plan templates needed; high demand on Pinterest and Google.
52,meal prep weekly recipes,Template / Printable / Worksheet,creative,creator,"meal prep planner, weekly recipe visual, food infographic template",High,Need content generation,P0 content gap — zero Curify results. Meal prep planner templates are a clear high-demand gap across all external platforms.
53,cozy reading aesthetic,Food & Lifestyle,consumer,consumer,"reading nook, bookshelf aesthetic, cozy mood board",Low,Weak Curify fit / mostly consumer search,Aesthetic mood browsing. Curify returns full-10 but it is a consumer visual browse query.
54,book lovers gift guide,How-to & Craft,creative,mixed,"gift guide layout, book lover present, reader gift ideas",Medium,Need content generation,"Gift guide visual creation (P1, 2 results). Very thin Curify coverage; gift guide template needed."
55,chiikawa,Character & IP & Pop Culture,consumer,consumer,"Chiikawa character, anime sticker, IP merchandise",Medium,Already covered reasonably,Specific IP fandom browse. Curify returns full-10; character IP templates in place.
56,samurai,Character & IP & Pop Culture,consumer,consumer,"samurai warrior, Japanese period character, sword art",Medium,Need topic/category expansion,"Samurai character browse (P2, 8 results). Curify near full-10; alias or topic slug expansion for samurai/bushido content could close gap."
57,genshin,Character & IP & Pop Culture,consumer,consumer,"Genshin Impact character, game artwork, fan art",Medium,Already covered reasonably,Game IP fandom browse. Curify returns full-10; game character templates covered.
58,maps,Design & Visual Style,consumer,mixed,"map template, world map, illustrated map, cartography",Medium,Already covered reasonably,Map template browse. Curify returns full-10 with 38 intent labels (highest of all queries); strong map template coverage.
