query,source_file,original_classification,new_classification,current_template_count,current_inspiration_count,relaxed_inspiration_count,templates_by_i18n,templates_by_inspiration,inventory_template_count,inventory_inspiration_count,missed_template_count,top_recalled_template_ids,top_missed_template_ids,root_cause,recommended_action
iCard flashcards,boss feedback,P1 template gap,TEMPLATE_RECALL_ISSUE,0,0,688,0,0,5,7,5,,template-detailed-vocab-flashcard; template-cartoon-english-vocabulary-flashcards; template-verb-action-learning-cards; template-chinese-idiom-learning-card; template-educational-flashcard-ontology-mindmap-infographic,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
iCard,boss feedback,P1 template gap,TRUE_TEMPLATE_GAP,0,0,0,0,0,0,0,0,,,no matching template in inventory (true gap),Add new template(s) to cover this query intent. No existing template serves this need.
animal vocabulary,boss feedback,P1 template gap,ADEQUATE_TEMPLATE_RECALL,14,165,611,0,14,48,776,34,template-species-science; template-species; template-mbti-animal; template-vocabulary; template-children-english-vocab-spelling,template-word-scene; template-mbti-contrast; template-english-top5-phrases; template-english-error-correction; template-english-dialogue-scene,none identified,No action needed. Monitor for diversity regression.
phonics worksheets kindergarten,docs/external-signal-pilot/curify-gap-analysis-58.csv #47,P0 content gap (zero results),ADEQUATE_TEMPLATE_RECALL,1,50,0,0,1,3,71,2,template-phonics-consonant-blend,template-CVC-english-word-coloring-flower-card; template-kids-theme-fill-in-worksheet,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries),No action needed. Monitor for diversity regression.
easy weeknight dinners healthy,docs/external-signal-pilot/curify-gap-analysis-58.csv #50,P0 content gap (zero results),TEMPLATE_RECALL_ISSUE,0,0,0,0,0,9,136,9,,template-recipe; template-fruit; template-premium-recipe-card-infographic; template-nutrition-food-guide-poster; template-food-recipe-tip-infographic,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
gluten free dinner ideas,docs/external-signal-pilot/curify-gap-analysis-58.csv #51,P0 content gap (zero results),TEMPLATE_RECALL_ISSUE,0,0,0,0,0,28,408,28,,template-travel; template-recipe; template-food; template-fruit; template-series-travel,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
meal prep weekly recipes,docs/external-signal-pilot/curify-gap-analysis-58.csv #52,P0 content gap (zero results),TEMPLATE_RECALL_ISSUE,0,0,0,0,0,29,409,29,,template-travel; template-recipe; template-food; template-fruit; template-series-travel,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
unique cultural experiences,docs/external-signal-pilot/curify-gap-analysis-58.csv #27,P0 content gap (zero results),TEMPLATE_RECALL_ISSUE,0,0,0,0,0,34,224,34,,template-intangible-heritage; template-costume; template-cultural-relic-retro-infographic; template-food; template-solar-term,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
电商详情图,docs/external-signal-pilot/curify-gap-analysis-58.csv #8,P1 template gap (4 results in eval),ADEQUATE_TEMPLATE_RECALL,1,21,0,1,1,6,53,5,template-fashion-ecommerce,template-ai-outfit-try-on-poster; template-top10-visual-guide-infographic; template-lunar-new-year-red-envelope-set; template-sports-ball-evolution-infographic; template-two-column-sports-comparison-infographic,CJK/synonym mapping gap — Chinese query tokens not in English template blobs,No action needed. Monitor for diversity regression.
趣味经济学知识科普,docs/external-signal-pilot/curify-gap-analysis-58.csv #13,P1 template gap (6 results in eval),ADEQUATE_TEMPLATE_RECALL,3,2,0,2,2,181,1817,178,template-education; template-weird-cold-knowledge-popular-science-card; template-hotspot-card,template-herbal; template-evolution; template-travel; template-architecture; template-species,none identified,No action needed. Monitor for diversity regression.
证件照,docs/external-signal-pilot/curify-gap-analysis-58.csv #18,P1 template gap (6 results in eval),ADEQUATE_TEMPLATE_RECALL,3,16,0,0,3,1,16,0,template-portrait-retouching-blueprint; template-hairstyle-color-recommendation; template-lifestyle-photo-grid,template-kpop-idol-profile-vintage-passport-poster,none identified,No action needed. Monitor for diversity regression.
homophones and homonyms,docs/external-signal-pilot/curify-gap-analysis-58.csv #22,P1 template gap (4 results in eval),ADEQUATE_TEMPLATE_RECALL,1,6,2,1,1,39,748,38,template-english-grammar-wordlist-infographic,template-word-scene; template-vocabulary; template-english-top5-phrases; template-english-error-correction; template-english-dialogue-scene,multi-token plural stem not applied (page.tsx only stems single-token queries),No action needed. Monitor for diversity regression.
wedding planner,docs/external-signal-pilot/curify-gap-analysis-58.csv #36,P1 template gap (7 results in eval),ADEQUATE_TEMPLATE_RECALL,4,28,13,0,4,5,41,1,template-east-asian-culture-comparison-infographic; template-relationship-advice-infographic; template-cultural-festival-poster; template-vocabulary,template-series-travel; template-child-hobby-skill; template-lifestyle-watercolor-infographic; template-chikawa-monthly-calendar-vertical-poster; template-musical-score-illustrated-art-poster,none identified,No action needed. Monitor for diversity regression.
cuban sandwich recipe poster,docs/external-signal-pilot/curify-gap-analysis-58.csv #39,P1 template gap (4 results in eval; 1 after fix),TEMPLATE_RECALL_ISSUE,1,1,50,0,1,173,669,172,template-food,template-herbal; template-evolution; template-architecture; template-recipe; template-weather,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
bilingual flashcards for kids learning korean fruits,docs/external-signal-pilot/curify-gap-analysis-58.csv #40,P1 template gap (6 results in eval),TEMPLATE_RECALL_ISSUE,1,1,292,0,1,22,602,21,template-vocabulary,template-species; template-english-top5-phrases; template-english-error-correction; template-english-dialogue-scene; template-detailed-vocab-flashcard,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
watercolor map of europe travel destinations,docs/external-signal-pilot/curify-gap-analysis-58.csv #41,P1 template gap (2 results in eval),TEMPLATE_RECALL_ISSUE,1,1,18,0,1,9,63,8,template-watercolor-world-map-illustration,template-travel; template-city-miniature; template-3d-region-landmark-map; template-whimsical-travel-map; template-historical-event-map-illustration,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
marvel mbti character chart 16 types,docs/external-signal-pilot/curify-gap-analysis-58.csv #43,P1 template gap (7 results in eval),TEMPLATE_RECALL_ISSUE,0,0,92,0,0,80,927,80,,template-character; template-character-analysis; template-book-series; template-character-comparison; template-mbti-animal,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
lunar new year red envelope graphic design,docs/external-signal-pilot/curify-gap-analysis-58.csv #44,P1 template gap (4 results in eval),ADEQUATE_TEMPLATE_RECALL,1,8,0,0,1,1,9,0,template-lunar-new-year-red-envelope-set,,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries),No action needed. Monitor for diversity regression.
before after kitchen organization makeover,docs/external-signal-pilot/curify-gap-analysis-58.csv #46,P1 template gap (3 results in eval),TEMPLATE_RECALL_ISSUE,1,2,3,0,1,11,20,10,template-home-organization-before-after,template-species; template-character-analysis; template-book-series; template-portrait-retouching-blueprint; template-guofeng-scroll,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
Spanish vocabulary printable,docs/external-signal-pilot/curify-gap-analysis-58.csv #48,P1 / Better routing needed (6 results in eval),ADEQUATE_TEMPLATE_RECALL,1,15,71,0,1,1,86,0,template-vocabulary,template-word-scene,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries),No action needed. Monitor for diversity regression.
ESL flashcards printable,docs/external-signal-pilot/curify-gap-analysis-58.csv #49,P1 / Already covered (10 results in eval),ADEQUATE_TEMPLATE_RECALL,1,3,15,0,1,3,0,2,template-children-english-vocab-spelling,template-detailed-vocab-flashcard; template-cartoon-english-vocabulary-flashcards; template-verb-action-learning-cards,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries),No action needed. Monitor for diversity regression.
book lovers gift guide,docs/external-signal-pilot/curify-gap-analysis-58.csv #54,P1 / Need content generation (2 results in eval),ADEQUATE_TEMPLATE_RECALL,3,7,0,0,3,12,127,9,template-book-recommendation-grid-poster; template-book-minimalist; template-top10-visual-guide-infographic,template-book-series; template-quote-poster-generator; template-science-education-infographic; template-country-souvenirs-watercolor; template-watercolor-world-map-illustration,none identified,No action needed. Monitor for diversity regression.
mbti marvel,docs/external-signal-pilot/curify-gap-analysis-58.csv #30,P1 template gap (5 results in eval),ADEQUATE_TEMPLATE_RECALL,2,74,436,1,2,28,510,26,template-mbti-marvel; template-mbti-generic,template-mbti-animal; template-mbti-contrast; template-mbti-nba; template-mbti-siliconvalley; template-mbti-breakingbad,none identified,No action needed. Monitor for diversity regression.
historical character,docs/external-signal-pilot/curify-gap-analysis-58.csv #20,P1 retrieval gap (5 results),ADEQUATE_TEMPLATE_RECALL,10,36,979,3,7,113,1141,103,template-character-comparison; template-guofeng-scroll; template-mbti-generic; template-figure-principles-infographic; template-artist-biography-infographic,template-evolution; template-architecture; template-character; template-character-analysis; template-intangible-heritage,none identified,No action needed. Monitor for diversity regression.
反义词,docs/external-signal-pilot/curify-gap-analysis-58.csv #32,P2 retrieval gap (9 results),ADEQUATE_TEMPLATE_RECALL,6,57,0,1,6,39,748,33,template-chinese-verb-opposite-infographic; template-native-english-expressions; template-language-word-comparison-educational-poster; template-english-word-difference-infographic; template-emotion-vs-emotion-illustration,template-word-scene; template-vocabulary; template-english-top5-phrases; template-english-error-correction; template-english-dialogue-scene,none identified,No action needed. Monitor for diversity regression.
paper cutting,docs/external-signal-pilot/curify-gap-analysis-58.csv #33,P2 retrieval gap (9 results),ADEQUATE_TEMPLATE_RECALL,6,49,0,0,6,0,49,0,template-intangible-heritage; template-solar-term; template-guofeng-scroll; template-cultural-relic-retro-infographic; template-east-asian-culture-comparison-infographic,,no matching template in inventory (true gap),No action needed. Monitor for diversity regression.
samurai,docs/external-signal-pilot/curify-gap-analysis-58.csv #56,P2 retrieval gap (8 results),ADEQUATE_TEMPLATE_RECALL,5,9,0,0,5,0,9,0,template-fandom-character-grid-poster; template-mbti-generic; template-historical-figure-profile-infographic; template-pop-culture-matching-chart; template-wc-fan-outfit-poster,,no matching template in inventory (true gap),No action needed. Monitor for diversity regression.
paris travel itinerary,docs/daily_report/2026-06-19.md,WARN / REAL_CONTENT_GAP + EVAL_FALSE_POSITIVE,ADEQUATE_TEMPLATE_RECALL,2,2,164,0,2,29,286,27,template-city-miniature; template-tourist-spot-watercolor-map-infographic,template-travel; template-weather; template-mbti-contrast; template-series-travel; template-city-mbti,none identified,No action needed. Monitor for diversity regression.
architecture empire state building,docs/daily_report/2026-06-19.md,WARN / RETRIEVAL_GAP,TEMPLATE_RECALL_ISSUE,1,1,0,0,1,60,71,59,template-architecture,template-weather; template-city-miniature; template-child-hobby-skill; template-bilingual-object-structure-labeling; template-3d-region-landmark-map,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
childhood snacks then vs now,docs/daily_report/2026-06-19.md,WARN / RETRIEVAL_GAP + EVAL_FALSE_POSITIVE,TEMPLATE_RECALL_ISSUE,1,1,6,0,1,7,116,6,template-then-vs-now-comparison-infographic,template-english-top5-phrases; template-daily-essentials-learning-card; template-kids-vocabulary-poster; template-CVC-english-word-coloring-flower-card; template-verb-action-learning-cards,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
warmup routine running checklist,docs/daily_report/2026-06-19.md,WARN / RETRIEVAL_GAP,TEMPLATE_RECALL_ISSUE,1,1,6,0,1,9,21,8,template-warmup-routine,template-gardening-how-to-infographic; template-lifestyle-habit-infographic; template-self-care-illustration-poster; template-top10-visual-guide-infographic; template-theme-color-palette-card,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
vintage stamp collection garden birds,docs/daily_report/2026-06-19.md,WARN / RETRIEVAL_GAP + EVAL_FALSE_POSITIVE,CONTENT_GAP_EXISTING_TEMPLATE,1,1,4,0,1,2,5,1,template-vintage-stamp-collection-illustration,template-kpop-idol-profile-vintage-passport-poster,template i18n blob does not match query tokens (missing description/title coverage); multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Batch-generate inspiration examples under existing template(s). Fix aliases first.
