"query","source_file","original_classification","new_classification","current_template_recall_count","current_inspiration_recall_count","relaxed_inspiration_count","inventory_candidate_template_count","inventory_candidate_inspo_count","missed_candidate_count","top_missed_template_ids","top_recalled_template_ids","evidence","recommended_action"
"before after kitchen organization makeover","docs/daily_report/2026-06-19.md / CURIFY_CENTERED report","WARN / REAL_CONTENT_GAP (P1, 3 results in eval)","RECALL_ISSUE","1","2","","10","35","9","template-word-scene; template-daily-essentials-learning-card; template-soft-decoration-design-guide; template-interior-design-mood-board-generator; template-fashion-before-after-outfit-annotation-card","template-home-organization-before-after","10 templates in inventory, 35 inspirations potentially relevant, but strict search returns only 2. Relaxed mode adds 0 more.","Add search_aliases and/or topics to missed inspiration records. Missed templates: template-word-scene, template-daily-essentials-learning-card, template-soft-decoration-design-guide, template-interior-design-mood-board-generator, template-fashion-before-after-outfit-annotation-card"
"architecture empire state building","docs/daily_report/2026-06-19.md","WARN / RETRIEVAL_GAP","RECALL_ISSUE","1","1","","24","73","23","template-weather; template-food; template-fruit; template-city-miniature; template-series-travel","template-architecture","24 templates in inventory, 73 inspirations potentially relevant, but strict search returns only 1. Relaxed mode adds 0 more.","Add search_aliases and/or topics to missed inspiration records. Missed templates: template-weather, template-food, template-fruit, template-city-miniature, template-series-travel"
"childhood snacks then vs now","docs/daily_report/2026-06-19.md","WARN / RETRIEVAL_GAP + EVAL_FALSE_POSITIVE","UNCERTAIN","1","1","","2","119","1","template-fat-loss-plan","template-then-vs-now-comparison-infographic","Mixed signals. Current recall: 1, inventory templates: 2, inventory inspos: 119.","Manual review needed."
"warmup routine running checklist","docs/daily_report/2026-06-19.md","WARN / RETRIEVAL_GAP","RECALL_ISSUE","1","1","","5","9","4","template-dog-breed-retro-infographic; template-city-miniature; template-posture-correctness-comparison; template-lifestyle-habit-infographic","template-warmup-routine","5 templates in inventory, 9 inspirations potentially relevant, but strict search returns only 1. Relaxed mode adds 0 more.","Add search_aliases and/or topics to missed inspiration records. Missed templates: template-dog-breed-retro-infographic, template-city-miniature, template-posture-correctness-comparison, template-lifestyle-habit-infographic"
"vintage stamp collection garden birds","docs/daily_report/2026-06-19.md","WARN / RETRIEVAL_GAP + EVAL_FALSE_POSITIVE","CONTENT_GAP_EXISTING_TEMPLATE","1","1","","1","5","","","template-vintage-stamp-collection-illustration","Template(s) exist (template-vintage-stamp-collection-illustration) but only 5 inspiration records match. No new template needed — generate examples under existing template(s).","Batch-generate inspiration examples under existing template(s). Fix aliases in existing inspirations first."
"phonics worksheets kindergarten","docs/external-signal-pilot/CURIFY_CENTERED_EXTERNAL_SIGNAL_INSIGHTS_2026-06-21.md","P0 content gap (zero results)","ADEQUATE_RECALL","1","50","","3","71","2","template-CVC-english-word-coloring-flower-card; template-kids-theme-fill-in-worksheet","template-phonics-consonant-blend","Current recall is 50 — already at or above the full-10 threshold.","No action needed. Monitor for diversity quality."
"easy weeknight dinners healthy","docs/external-signal-pilot/CURIFY_CENTERED_EXTERNAL_SIGNAL_INSIGHTS_2026-06-21.md","P0 content gap (zero results)","RECALL_ISSUE","","","","13","140","13","template-recipe; template-mbti-animal; template-fat-loss-plan; template-premium-recipe-card-infographic; template-lifestyle-watercolor-infographic","","13 templates found in inventory matching keywords, but search returns 0. Token matching gap — aliases or topic slugs missing.","Add missing aliases/topics to inspirations under: template-recipe, template-mbti-animal, template-fat-loss-plan, template-premium-recipe-card-infographic, template-lifestyle-watercolor-infographic"
"gluten free dinner ideas","docs/external-signal-pilot/CURIFY_CENTERED_EXTERNAL_SIGNAL_INSIGHTS_2026-06-21.md","P0 content gap (zero results)","RECALL_ISSUE","","","","36","408","36","template-travel; template-recipe; template-food; template-fruit; template-mbti-animal","","36 templates found in inventory matching keywords, but search returns 0. Token matching gap — aliases or topic slugs missing.","Add missing aliases/topics to inspirations under: template-travel, template-recipe, template-food, template-fruit, template-mbti-animal"
"meal prep weekly recipes","docs/external-signal-pilot/CURIFY_CENTERED_EXTERNAL_SIGNAL_INSIGHTS_2026-06-21.md","P0 content gap (zero results)","RECALL_ISSUE","","","","36","409","36","template-travel; template-recipe; template-food; template-fruit; template-series-travel","","36 templates found in inventory matching keywords, but search returns 0. Token matching gap — aliases or topic slugs missing.","Add missing aliases/topics to inspirations under: template-travel, template-recipe, template-food, template-fruit, template-series-travel"
"unique cultural experiences","docs/external-signal-pilot/CURIFY_CENTERED_EXTERNAL_SIGNAL_INSIGHTS_2026-06-21.md","P0 content gap (zero results)","RECALL_ISSUE","","","","37","234","37","template-species; template-intangible-heritage; template-costume; template-cultural-relic-retro-infographic; template-food","","37 templates found in inventory matching keywords, but search returns 0. Token matching gap — aliases or topic slugs missing.","Add missing aliases/topics to inspirations under: template-species, template-intangible-heritage, template-costume, template-cultural-relic-retro-infographic, template-food"
"bilingual flashcards for kids learning korean fruits","docs/external-signal-pilot/query-tier1-distribution-58-curify-centered.csv","P1 template gap (6 results in eval)","RECALL_ISSUE","1","1","","43","830","42","template-evolution; template-word-scene; template-character-comparison; template-battle; template-hotspot-card","template-vocabulary","43 templates in inventory, 830 inspirations potentially relevant, but strict search returns only 1. Relaxed mode adds 0 more.","Add search_aliases and/or topics to missed inspiration records. Missed templates: template-evolution, template-word-scene, template-character-comparison, template-battle, template-hotspot-card"
"watercolor map of europe travel destinations","docs/external-signal-pilot/query-tier1-distribution-58-curify-centered.csv","P1 / Need content generation (2 results)","RECALL_ISSUE","1","1","","21","66","20","template-travel; template-food; template-fruit; template-what-if-history; template-city-miniature","template-watercolor-world-map-illustration","21 templates in inventory, 66 inspirations potentially relevant, but strict search returns only 1. Relaxed mode adds 0 more.","Add search_aliases and/or topics to missed inspiration records. Missed templates: template-travel, template-food, template-fruit, template-what-if-history, template-city-miniature"
"cuban sandwich recipe poster","docs/external-signal-pilot/query-tier1-distribution-58-curify-centered.csv","P1 / Need content generation (4 results in eval; 1 after fix)","RECALL_ISSUE","1","1","","218","1349","217","template-herbal; template-travel; template-recipe; template-intangible-heritage; template-cultural-relic-retro-infographic","template-food","218 templates in inventory, 1349 inspirations potentially relevant, but strict search returns only 1. Relaxed mode adds 0 more.","Add search_aliases and/or topics to missed inspiration records. Missed templates: template-herbal, template-travel, template-recipe, template-intangible-heritage, template-cultural-relic-retro-infographic"
"Spanish vocabulary printable","docs/external-signal-pilot/query-tier1-distribution-58-curify-centered.csv","P1 / Better routing needed (6 results in eval)","ADEQUATE_RECALL","1","15","","56","920","55","template-word-scene; template-character-comparison; template-battle; template-hotspot-card; template-mbti-nba","template-vocabulary","Current recall is 15 — already at or above the full-10 threshold.","No action needed. Monitor for diversity quality."
"ESL flashcards printable","docs/external-signal-pilot/query-tier1-distribution-58-curify-centered.csv","Already covered (10 results in eval)","RECALL_ISSUE","","","15","57","918","57","template-word-scene; template-character-comparison; template-battle; template-hotspot-card; template-mbti-nba","","57 templates found in inventory matching keywords, but search returns 0. Token matching gap — aliases or topic slugs missing.","Add missing aliases/topics to inspirations under: template-word-scene, template-character-comparison, template-battle, template-hotspot-card, template-mbti-nba"
"homophones and homonyms","docs/external-signal-pilot/query-tier1-distribution-58-curify-centered.csv","P1 / Need better routing (4 results in eval)","RECALL_ISSUE","","","8","39","748","39","template-word-scene; template-vocabulary; template-english-top5-phrases; template-english-error-correction; template-english-dialogue-scene","","39 templates found in inventory matching keywords, but search returns 0. Token matching gap — aliases or topic slugs missing.","Add missing aliases/topics to inspirations under: template-word-scene, template-vocabulary, template-english-top5-phrases, template-english-error-correction, template-english-dialogue-scene"
"book lovers gift guide","docs/external-signal-pilot/query-tier1-distribution-58-curify-centered.csv","P1 / Need content generation (2 results in eval)","ADEQUATE_RECALL","3","7","","100","584","97","template-recipe; template-intangible-heritage; template-education-card; template-book-series; template-portrait-retouching-blueprint","template-book-recommendation-grid-poster; template-book-minimalist; template-top10-visual-guide-infographic","Current recall 7 is above LOW_RESULT_THRESHOLD=3. 100 templates in inventory.","Optional: add aliases to improve recall further. Not P0/P1."
